id;nom_dep;violence;destruction_degradation;homicides;vols;viols_crimes_sexuels;autres;stupefiants;falsification_escroquerie_fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_dept;code_dept;nom_reg;code_reg
73;ARDECHE;10309;13141;8625;76544;2569;9100;9422;14973;556481;140230;312112;319353;19018,32237;;;;;;ARDECHE;7;AUVERGNE-RHONE-ALPES;84
49;NIEVRE;3309;1995;2193;22484;1160;2602;2686;6669;687381;94879;192994;215004;19295,38168;44726;89083;31281;7944;0,373066667;NIEVRE;58;BOURGOGNE-FRANCHE-COMTE;27
15;HAUTES-ALPES;714;608;654;5696;184;587;1895;1351;569736;63014;133859;138001;19857,37226;;;;;;HAUTES-ALPES;5;PROVENCE-ALPES-COTE D'AZUR;93
14;MEUSE;11244;6295;8197;51191;2979;9761;7400;12162;623257;75008;167646;192015;19882,86136;38460;77004;27624;7807,692308;0,383846154;MEUSE;55;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
51;VAUCLUSE;5366;3609;4649;45933;950;4602;5299;7675;357632;242557;559986;549949;20947,46479;105001;202064;110097;8375;0,338980769;VAUCLUSE;84;PROVENCE-ALPES-COTE D'AZUR;93
76;HAUTE-MARNE;7469;6226;6371;36393;2151;5750;3933;11807;625405;74001;160034;181094;19951,76692;39692;73140;24373;7627;0,398;HAUTE-MARNE;52;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
2;ALPES-MARITIMES;10389;9493;8906;75065;1399;7461;7605;15492;429421;519116;1107204;1080771;22296,02941;;;;;;ALPES-MARITIMES;6;PROVENCE-ALPES-COTE D'AZUR;93
40;HAUTE-CORSE;2319;3707;1872;9658;442;1718;991;3746;468644;63776;135115;169368;18775,27132;34029;67703;34748;7930;0,374125;HAUTE-CORSE;2B;CORSE;94
66;HAUTE-SAVOIE;11500;8623;9417;91787;2442;11442;13648;16326;460425;339908;789162;692989;29421,00719;107089;289061;197907;8238,059701;0,349761194;HAUTE-SAVOIE;74;AUVERGNE-RHONE-ALPES;84
69;MAYENNE;8086;6524;6158;43818;2218;6670;7442;13608;521249;124293;290330;296916;19036,31799;61599;115768;48171;9069,62963;0,284185185;MAYENNE;53;PAYS DE LA LOIRE;52
70;LOIRE;23164;20803;16879;128161;3883;14739;16125;31493;480303;322619;732534;756068;20546,8038;140211;282915;134779;8627,818182;0,319072727;LOIRE;42;AUVERGNE-RHONE-ALPES;84
90;SARTHE;11973;8718;9006;60633;3207;7050;4659;17634;624374;240323;547040;561684;20248,5044;108809;216670;92066;8821,4;0,30382;SARTHE;72;PAYS DE LA LOIRE;52
52;AUDE;6864;5074;6214;47669;1556;5666;6546;8064;634227;162751;350602;364404;17975,18033;69013;149342;68430;7839,615385;0,381115385;AUDE;11;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
74;LOIRE-ATLANTIQUE;19333;27121;18750;236644;4971;11358;12546;35161;697151;591658;1362871;1318534;21127,13592;167700;486714;338040;9308,918919;0,265358108;LOIRE-ATLANTIQUE;44;PAYS DE LA LOIRE;52
60;HERAULT;24176;24398;22613;231404;5006;22414;20621;39696;623057;500585;1099476;1091603;20151,54088;169988;388189;272779;8277,383178;0,346663551;HERAULT;34;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
36;ARDENNES;11420;8281;7331;36043;2007;6266;6323;7993;524423;113746;256809;279022;19759,58457;;;;;;ARDENNES;8;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
89;YVELINES;37928;37014;26757;211992;5879;23540;46812;57111;230569;565736;1439467;1410988;30309,10506;166388;386288;448514;8360,769231;0,340098901;YVELINES;78;ILE-DE-FRANCE;11
