id;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_reg;code_reg;nom_tj;violence;destruction degradation;homicides;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;siege;parquet;total_magistrat
1;538384;147493;323888;333180;19174.61038961039;69533;131983;55745;8248.125;0.34896874999999994;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance d'Agen;6258;5039;5856;1461;4593;1639;7997;23;9;32
2;228870;315677;744593;735733;25558.225806451614;112289;249881;188389;8510.2;0.32843999999999984;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance d'Aix-en-Provence;12620;8645;11137;1695;9775;7995;18444;48;16;64
3;401771;55428;118693;149234;20778.219178082192;27947;64683;31439;8420.90909090909;0.3353636363636363;CORSE;94;Tribunal de Grande Instance d'Ajaccio;764;1262;643;114;599;501;1595;15;5;20
4;463600;66953;147924;149458;22673.333333333332;24510;64897;29231;8976.666666666666;0.29150000000000004;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance d'Albertville;5382;5378;5326;1158;6446;8449;10519;11;5;16
5;272043;83712;184279;185652;19345.714285714286;33432;72132;39870;8321.176470588236;0.34329411764705886;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance d'Albi;4840;4241;3393;1202;3522;2796;6327;10;3;13
6;301580;58408;127323;137994;19909.349112426036;30990;52812;20270;8113.333333333333;0.35975;NORMANDIE;28;Tribunal de Grande Instance d'Alençon;5076;4760;3962;1380;3582;2212;7104;10;3;13
7;273248;83842;180163;187644;18130.8125;37887;75696;33233;7625.238095238095;0.3981904761904762;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance d'Alès;2470;2482;1916;466;1642;1320;3386;9;3;12
8;619412;231456;532977;570421;0;119141;201190;94876;7717.368421052632;0.39094736842105265;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance d'Amiens;45678;30098;36429;9156;37346;26258;56757;39;14;53
9;471889;262079;613947;592620;20807.01754385965;106046;223855;127551;9301.379310344828;0.26591379310344826;PAYS DE LA LOIRE;52;Tribunal de Grande Instance d'Angers;5597;7347;4832;1681;3345;3581;10413;31;10;41
10;597201;154054;332885;343558;19190.76271186441;68576;145112;60172;8185.454545454545;0.35393939393939394;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance d'Angoulême;13501;13488;10685;3348;8503;4523;26507;19;6;25
