id;nom_tj;violence;destruction degradation;homicides;vols;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv
110;Tribunal de Grande Instance d'Agen;6258;5039;5856;43557;1461;4593;1639;7997;538384;147493;323888;333180;19174,61039;69533;131983;55745;8248,125;0,34896875
34;Tribunal de Grande Instance d'Aix-en-Provence;12620;8645;11137;104862;1695;9775;7995;18444;228870;315677;744593;735733;25558,22581;112289;249881;188389;8510,2;0,32844
155;Tribunal de Grande Instance d'Ajaccio;764;1262;643;4655;114;599;501;1595;401771;55428;118693;149234;20778,21918;27947;64683;31439;8420,909091;0,335363636
96;Tribunal de Grande Instance d'Albertville;5382;5378;5326;69736;1158;6446;8449;10519;463600;66953;147924;149458;22673,33333;24510;64897;29231;8976,666667;0,2915
18;Tribunal de Grande Instance d'Albi;4840;4241;3393;32712;1202;3522;2796;6327;272043;83712;184279;185652;19345,71429;33432;72132;39870;8321,176471;0,343294118
72;Tribunal de Grande Instance d'Alençon;5076;4760;3962;24568;1380;3582;2212;7104;301580;58408;127323;137994;19909,34911;30990;52812;20270;8113,333333;0,35975
70;Tribunal de Grande Instance d'Alès;2470;2482;1916;17064;466;1642;1320;3386;273248;83842;180163;187644;18130,8125;37887;75696;33233;7625,238095;0,398190476
24;Tribunal de Grande Instance d'Amiens;45678;30098;36429;232463;9156;37346;26258;56757;619412;231456;532977;570421;20440;119141;201190;94782;7677,368421;0,394947368
148;Tribunal de Grande Instance d'Angers;5597;7347;4832;42396;1681;3345;3581;10413;471889;262079;613947;592620;20807,01754;106046;223855;127551;9301,37931;0,265913793
75;Tribunal de Grande Instance d'Angoulême;13501;13488;10685;76696;3348;8503;4523;26507;597201;154054;332885;343558;19190,76271;68576;145112;60172;8185,454545;0,353939394
116;Tribunal de Grande Instance d'Annecy;1327;908;972;12390;313;1270;1681;2258;128637;122294;281424;195164;27319,36709;34534;97392;78201;8898,888889;0,297444444
80;Tribunal de Grande Instance d'Argentan;1879;1945;1066;7574;407;1271;805;2235;312820;63341;138764;144623;19416,13095;35292;58710;19074;8385,333333;0,338133333
97;Tribunal de Grande Instance d'Arras;19929;7370;13832;55513;4182;8488;8508;12851;252736;127749;305846;311928;20291,30194;54319;119783;55086;7869,583333;0,378916667
62;Tribunal de Grande Instance d'Auch;6420;6076;5288;48382;2063;5217;6115;12839;629162;81634;177181;190133;19916,08219;36302;76510;37787;8171,666667;0,355
82;Tribunal de Grande Instance d'Aurillac;3610;2090;2374;13518;837;2985;1713;7628;577302;65107;135800;145041;18251,5311;29697;63639;23229;9080;0,283555556
108;Tribunal de Grande Instance d'Auxerre;8030;3796;6183;36218;1903;6343;5366;17186;479176;75606;162498;175519;20470,51064;36569;69607;27764;7887,272727;0,377454545
124;Tribunal de Grande Instance d'Avesnes-sur-Helpe;23001;30679;23802;83525;3933;9932;11424;18262;140898;92442;220873;232032;20253,64865;46290;87815;32703;6934,137931;0,452689655
107;Tribunal de Grande Instance d'Avignon;3573;2457;3166;32953;628;3120;3572;5161;172670;145334;331401;325166;21423,73134;60757;116802;68360;8296,666667;0,345125
147;Tribunal de Grande Instance de Bar-le-Duc;4966;3552;3973;25320;1418;5094;3956;6107;339543;42145;94035;105735;20135,17241;21881;41490;15358;7852,857143;0,380428571
50;Tribunal de Grande Instance de Bastia;2319;3707;1872;9658;442;1718;991;3746;468644;63776;135115;169368;18775,27132;34029;67703;34748;7930;0,374125
114;Tribunal de grande instance de Bayonne;2516;2373;2443;27230;437;2492;3358;4437;230162;139595;293745;286352;19851,84874;39810;116252;74401;8806,206897;0,304965517
150;Tribunal de Grande Instance de Beauvais;13732;13089;10628;87481;3182;12647;4183;16720;325452;140996;350448;353392;22307,65957;67743;134507;58585;8623,793103;0,319448276
74;Tribunal de Grande Instance de Belfort;4257;2493;3447;17892;837;2439;3294;3762;61046;59396;133441;143890;24365,75758;23467;51466;29391;8003,636364;0,368181818
76;Tribunal de Grande Instance de Bergerac;3608;3051;3113;23642;1336;4227;1979;6490;367065;72512;154264;161581;18994,44954;33091;68207;28705;8140;0,357555556
43;Tribunal de Grande Instance de Besançon;4524;3565;3892;22834;926;4611;2086;7614;417894;155423;350409;363922;23612,32092;55609;128900;80749;8757,222222;0,308833333
7;Tribunal de Grande Instance de Béthune;84697;90403;81527;409893;17914;30704;45091;78065;95339;246035;599421;603322;19380,07246;122480;231749;83572;7939,210526;0,373460526
94;Tribunal de Grande Instance de Béziers;7225;7357;7026;65104;1528;5999;8058;10997;299228;148579;321941;308948;18312,23776;62551;131491;54337;8034,615385;0,365717949
138;Tribunal de Grande Instance de Blois;5308;4299;4090;31483;976;2983;2875;6423;644673;144574;322767;327121;20000;68527;129522;55245;8646,129032;0,317612903
128;Tribunal de Grande Instance de Bobigny;19540;18749;15774;119680;2385;9821;20901;20992;23503;582605;1577218;1545500;17725,12821;341891;446801;297012;7354,871795;0,419589744
126;Tribunal de Grande Instance de Bonneville;3399;2211;2637;21249;849;3540;3861;4506;175104;80093;189363;182177;26645,33333;29026;69721;40080;8908,947368;0,296736842
135;Tribunal de Grande Instance de Bordeaux;53385;83433;56940;586758;12081;38105;42542;98711;805189;597422;1333957;1286903;20842,47788;171402;464552;347204;8615,420561;0,320084112
58;Tribunal de Grande Instance de Boulogne-sur-Mer;15130;14468;11980;67906;3405;12288;8316;17509;211297;161985;377479;385140;19838;81332;143376;58320;8028,611111;0,366194444
151;Tribunal de Grande Instance de Bourg-en-Bresse;14032;12388;10751;98425;3421;10738;8901;19380;578248;255041;614580;610759;23521,2336;;;;;
98;Tribunal de Grande Instance de Bourges;6788;7343;5280;36671;1429;3919;3082;10117;730621;137669;294915;311389;19970,18657;59903;125042;51484;8242,631579;0,349368421
16;Tribunal de Grande Instance de Bourgoin-Jallieu;11668;11337;9262;78903;3067;9985;6217;14658;136032;87408;217282;207348;22557,58333;33565;81444;42892;9003;0,2895
117;Tribunal de Grande Instance de Brest;3536;4863;2837;25466;974;2479;3145;6345;330548;228812;505714;514851;20874,53333;62423;200803;118293;9333;0,263383333
134;Tribunal de Grande Instance de Briey;4648;5525;3461;16321;720;3430;5258;3249;114776;68697;156564;162171;21978,77049;32731;68083;24415;7757,6;0,3878
103;Tribunal de Grande Instance de Brive-la-Gaillarde;1624;952;1344;11648;416;1656;1152;3336;152968;59501;127211;129304;20139,89691;22917;53828;24507;9035;0,2868
140;Tribunal de Grande Instance de Caen;38018;39761;28438;194747;8699;21771;26678;51046;390835;229123;516998;520924;21646,05042;93154;191789;109184;8645,6;0,31762
154;Tribunal de Grande Instance de Cahors;4845;2575;3469;30827;1242;4837;4378;7916;522453;77235;161489;170301;19699,8951;31586;72706;34837;8082,222222;0,362111111
32;Tribunal de Grande Instance de Cambrai;5848;3303;5799;23765;1195;6499;3022;5912;90261;66421;156928;162607;19510,6087;32843;61792;24166;7568,75;0,40275
29;Tribunal de Grande Instance de Carcassonne;4718;3596;4018;26825;1063;3892;4382;5171;456302;86932;190218;205909;18033,78261;38979;82697;38772;7697;0,3924
